# file  test#  perl_result  pcl_result  description   [test# = PERL's number; rows paired by description, so PCL's own number may differ — it is shown when it does.  description = PERL's test line, values interpolated by perl — not PCL's output]
comp/fold.t	0	(none)	renumbered	PCL's TAP numbering is offset from perl's for 3 row(s) — rows below are paired by description, not by number
comp/fold.t	10	ok	not ok	missing warn hook
comp/fold.t	13	ok	not ok	missing die hook
comp/fold.t	14	ok	not ok	lone m// is not bound via =~ after ? : folding
comp/fold.t	15	ok	not ok	lone m// is not bound via =~ after || folding
comp/fold.t	20	ok	not ok	print followed by const ? BEAR : BEAR
comp/fold.t	21	ok	not ok [PCL #22]	print followed by const ? BEAR : BEAR (again)
comp/fold.t	22	ok	not ok [PCL #24]	print followed by const && BEAR
comp/fold.t	23	ok	not ok [PCL #26]	print followed by const || URSINE
comp/fold.t	24	ok	(missing)	stat(const ? word : ....)
comp/fold.t	25	ok	(missing)	stat(const ? word : ....)
comp/fold.t	26	ok	(missing)	truncate(const ? word : ...)
comp/fold.t	27	ok	(missing)	1+2 returns mutable value, just like $a+$b
comp/fold.t	28	ok	(missing)	qq with no vars is a constant
comp/fold.t	29	ok	(missing)	\1+3 folding making modification affect future retvals
comp/fold.t	30	ok	(missing)	1+undef_constant is not folded outside warninsg scope
comp/fold.t	31	ok	(missing)	list constant folding doesn't signal compile-time error
comp/fold.t	32	ok	(missing)	no error
comp/fold.t	33	ok	(missing)	list constant folding doesn't signal compile-time error
comp/fold.t	34	ok	(missing)	no error
comp/fold.t	35	ok	(missing)	aborted list constant folding still executable
